ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
61135,infinitesimally,RB,5,"1,1,3",{<im<(fin)>it>>esimal>}>ly>,"42,00913242",658,610746,2,"4,26E-05","0,00401668469","77,77777778",10,28991,"57,69230769",27,111694,2,0,0,100,2,478,6,0,0,"30,10010356",2898,3857999,2,"4,48E-05","0,02672640198"
61366,impracticality,NN,5,"1,1,3",<im<{(pract)>ic>>al>}>ity>,"63,16590563",658,610746,2,"4,26E-05","0,00401668469",60,21,100783,"68,90424482",1014,1472797,2,"2,78E-05","0,006334002781","75,45454545",1431,4704731,2,"9,14E-06","0,006642978526","72,71157168",580,1647588,3,"1,76E-05","0,004480148308"
61382,impressionistic,JJ,5,"1,1,3",{<in<(press)}>ion>>ist>>ic>,"75,91036415",358,2402388,2,"6,66E-06","0,002471805963","63,88888889",73,340039,"73,59198999",1599,6530204,3,"9,03E-06","0,009114784489","64,64208243",462,382916,3,"6,27E-05","0,003707708945","61,50049358",1014,1472797,2,"2,78E-05","0,006334002781"
61434,inactivation,NN,5,"1,1,3",<im<{(act)}>ive>>ate>>ion>,"48,40182648",658,610746,2,"4,26E-05","0,00401668469","75,86206897",59,716577,"56,64939551",580,1037354,3,"1,74E-05","0,002780781709","66,98717949",937,2569118,3,"2,65E-05","0,01050517534","68,14768461",1599,6530204,3,"9,03E-06","0,009114784489"
66333,expeditionary,JJ,5,"1,1,3",{<ex<(ped)>it>>ion>}>ory>,"48,93617021",142,581016,2,"1,89E-05","0,0016993666","56,25",17,10650,"61,53846154",27,111694,2,0,0,"62,70337922",1599,6530204,3,"9,03E-06","0,009114784489","54,64788732",356,725186,3,"2,62E-05","0,002935269581"
66341,expeditiously,RB,5,"1,1,3",{<ex<(ped)>ite>}>ious>>ly>,"43,97163121",142,581016,2,"1,89E-05","0,0016993666",50,17,10650,"52,27272727",45,228495,3,"8,75E-06","0,0003089757454","27,5974026",617,450833,4,"7,10E-05","0,004943611926","27,64929237",2898,3857999,2,"4,48E-05","0,02672640198"
66444,expressionistic,JJ,5,"1,1,3",{<ex<(press)}>ion>>ist>>ic>,"78,0141844",142,581016,2,"1,89E-05","0,0016993666","83,33333333",73,340039,"88,36045056",1599,6530204,3,"9,03E-06","0,009114784489","83,0802603",462,382916,3,"6,27E-05","0,003707708945","77,98617966",1014,1472797,2,"2,78E-05","0,006334002781"
66486,externalization,NN,5,"1,1,3",{<ex<(tern)>al>}>ize>>ion>,"88,65248227",142,581016,2,"1,89E-05","0,0016993666",100,13,84483,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","88,57808858",430,443161,3,"0,0001489300728","0,0101961996","94,68085106",1599,6530204,3,"9,03E-06","0,009114784489"
66925,exceptionally,RB,5,"1,1,3",{<ex<(cept)}>ion>>al>>ly>,"22,69503546",142,581016,2,"1,89E-05","0,0016993666","25,53191489",48,216413,"26,34543179",1599,6530204,3,"9,03E-06","0,009114784489","21,04895105",1431,4704731,2,"9,14E-06","0,006642978526","9,181912323",2898,3857999,2,"4,48E-05","0,02672640198"
69443,detribalization,NN,5,"1,1,3",<de<{(tribe)}>al>>ize>>ion>,"94,52554745",275,559431,2,"4,65E-05","0,00401668469","85,71428571",8,10563,"96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
69531,diagonalizable,JJ,5,"1,1,3",{<dia<(gon)>al>}>ize>>able>,"91,66666667",25,35236,3,"8,51E-05","0,0004634636181",100,14,9012,"93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996","88,97818599",872,1227992,4,"3,18E-05","0,006025027035"
69543,dialectically,RB,5,"1,1,3",{<dia<(lect)}>ic>>al>>ly>,75,25,35236,3,"8,51E-05","0,0004634636181","81,81818182",12,15883,"80,55281343",1014,1472797,2,"2,78E-05","0,006334002781","86,08391608",1431,4704731,2,"9,14E-06","0,006642978526","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
69559,diametrically,RB,5,"1,1,3",{<dia<(meter)>ic>}>al>>ly>,"33,33333333",25,35236,3,"8,51E-05","0,0004634636181","36,84210526",58,68090,"36,03158934",1014,1472797,2,"2,78E-05","0,006334002781","46,29370629",1431,4704731,2,"9,14E-06","0,006642978526","22,74767",2898,3857999,2,"4,48E-05","0,02672640198"
69869,denominational,JJ,5,"1,1,3",{<de<(nomin)>ate>}>ion>>al>,"46,35036496",275,559431,2,"4,65E-05","0,00401668469","47,22222222",37,34420,"58,65384615",937,2569118,3,"2,65E-05","0,01050517534","60,20025031",1599,6530204,3,"9,03E-06","0,009114784489","53,98601399",1431,4704731,2,"9,14E-06","0,006642978526"
69932,depersonalization,NN,5,"1,1,3",<de<{(person)}>al>>ize>>ion>,"42,70072993",275,559431,2,"4,65E-05","0,00401668469","65,2173913",24,385320,"50,27972028",1431,4704731,2,"9,14E-06","0,006642978526","37,76223776",430,443161,3,"0,0001489300728","0,0101961996","55,94493116",1599,6530204,3,"9,03E-06","0,009114784489"
69977,depreciatory,JJ,5,"1,1,3",{<de<(preci)>ate>}>or>>y>,"94,52554745",275,559431,2,"4,65E-05","0,00401668469",90,11,119393,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","95,48611111",289,937614,2,"9,60E-06","0,001390390854","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
70127,deactivation,NN,5,"1,1,3",<de<{(act)}>ive>>ate>>ion>,"59,8540146",275,559431,2,"4,65E-05","0,00401668469","79,31034483",59,716577,"59,7582038",580,1037354,3,"1,74E-05","0,002780781709","69,87179487",937,2569118,3,"2,65E-05","0,01050517534","71,46433041",1599,6530204,3,"9,03E-06","0,009114784489"
70237,decentralization,NN,5,"1,1,3",<de<{(center)>al>}>ize>>ion>,"39,7810219",275,559431,2,"4,65E-05","0,00401668469",50,29,173066,"48,95104895",1431,4704731,2,"9,14E-06","0,006642978526","36,5967366",430,443161,3,"0,0001489300728","0,0101961996","54,31789737",1599,6530204,3,"9,03E-06","0,009114784489"
71587,congregational,JJ,5,"1,1,3",{<co<(greg)>ate>}>ion>>al>,"57,18157182",370,1256048,2,"1,51E-05","0,002935269581","37,5",17,31035,"57,37179487",937,2569118,3,"2,65E-05","0,01050517534","59,19899875",1599,6530204,3,"9,03E-06","0,009114784489","52,58741259",1431,4704731,2,"9,14E-06","0,006642978526"
71771,constitutionalize,VB,5,"1,1,3",{<co<(stitute)}>ion>>al>>ize>,"93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,26,153966,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996"
71772,constitutionalism,NN,5,"1,1,3",{<co<(stitute)}>ion>>al>>ism>,"66,66666667",370,1256048,2,"1,51E-05","0,002935269581",80,26,153966,"69,02377972",1599,6530204,3,"9,03E-06","0,009114784489","63,21678322",1431,4704731,2,"9,14E-06","0,006642978526","57,03703704",271,218200,3,"5,50E-05","0,001853854472"
71775,constitutionalist,NN|JJ,5,"1,1,3",{<co<(stitute)}>ion>>al>>ist>,"67,4796748",370,1256048,2,"1,51E-05","0,002935269581",84,26,153966,"70,46307885",1599,6530204,3,"9,03E-06","0,009114784489","64,1958042",1431,4704731,2,"9,14E-06","0,006642978526","61,38828633",462,382916,3,"6,27E-05","0,003707708945"
72035,compositional,JJ,5,"1,1,3",{<co<(pose)}>it>>ion>>al>,"50,40650407",370,1256048,2,"1,51E-05","0,002935269581","64,81481481",55,328330,50,27,111694,2,0,0,"50,56320401",1599,6530204,3,"9,03E-06","0,009114784489","45,59440559",1431,4704731,2,"9,14E-06","0,006642978526"
72119,conceptualization,NN,5,"1,1,3",{<co<(cept)}>al>>ize>>ion>,"62,33062331",370,1256048,2,"1,51E-05","0,002935269581","68,08510638",48,216413,60,1431,4704731,2,"9,14E-06","0,006642978526","48,01864802",430,443161,3,"0,0001489300728","0,0101961996","66,2077597",1599,6530204,3,"9,03E-06","0,009114784489"
77519,appreciatively,RB,5,"1,1,3",{<a<(preci)>ate>}>ive>>ly>,"66,88311688",309,1336429,1,"1,72E-05","0,003553221072",80,11,119393,"68,16239316",937,2569118,3,"2,65E-05","0,01050517534","58,03108808",580,1037354,3,"1,74E-05","0,002780781709","36,10631688",2898,3857999,2,"4,48E-05","0,02672640198"
79414,administratively,RB,5,"1,1,3",{<a<(minister)>ate>}>ive>>ly>,"65,25974026",309,1336429,1,"1,72E-05","0,003553221072","72,72727273",12,116543,"66,88034188",937,2569118,3,"2,65E-05","0,01050517534","56,30397237",580,1037354,3,"1,74E-05","0,002780781709","34,82913359",2898,3857999,2,"4,48E-05","0,02672640198"
79572,affectionately,RB,5,"1,1,3",{<a<(fect)}>ion>>ate>>ly>,"48,7012987",309,1336429,1,"1,72E-05","0,003553221072","46,55172414",59,315367,"53,5669587",1599,6530204,3,"9,03E-06","0,009114784489","52,13675214",937,2569118,3,"2,65E-05","0,01050517534","24,26648257",2898,3857999,2,"4,48E-05","0,02672640198"
